#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 09:35:45 2015,1433511345.688073,+295.835,+296.990,2.655E-4
Fri Jun  5 09:35:46 2015,1433511346.893624,+295.841,+296.990,2.656E-4
Fri Jun  5 09:35:48 2015,1433511348.114546,+295.835,+296.990,2.655E-4
Fri Jun  5 09:35:49 2015,1433511349.337202,+295.838,+296.989,2.654E-4
Fri Jun  5 09:35:50 2015,1433511350.554795,+295.837,+296.989,2.654E-4
Fri Jun  5 09:35:51 2015,1433511351.775632,+295.835,+296.991,2.654E-4
Fri Jun  5 09:35:52 2015,1433511352.992963,+295.842,+296.990,2.655E-4
Fri Jun  5 09:35:54 2015,1433511354.207134,+295.840,+296.989,2.655E-4
Fri Jun  5 09:35:55 2015,1433511355.422239,+295.841,+296.990,2.658E-4
Fri Jun  5 09:35:56 2015,1433511356.640174,+295.835,+296.989,2.660E-4
Fri Jun  5 09:35:57 2015,1433511357.844032,+295.838,+296.989,2.659E-4
Fri Jun  5 09:35:59 2015,1433511359.051363,+295.837,+296.989,2.660E-4
Fri Jun  5 09:36:00 2015,1433511360.272332,+295.834,+296.989,2.662E-4
Fri Jun  5 09:36:01 2015,1433511361.480069,+295.832,+296.990,2.660E-4
Fri Jun  5 09:36:02 2015,1433511362.698016,+295.837,+296.988,2.661E-4
Fri Jun  5 09:36:03 2015,1433511363.911652,+295.832,+296.989,2.663E-4
Fri Jun  5 09:36:05 2015,1433511365.121943,+295.835,+296.987,2.660E-4
Fri Jun  5 09:36:06 2015,1433511366.337801,+295.838,+296.989,2.659E-4
Fri Jun  5 09:36:07 2015,1433511367.556161,+295.835,+296.988,2.661E-4
Fri Jun  5 09:36:08 2015,1433511368.775898,+295.835,+296.990,2.658E-4
Fri Jun  5 09:36:09 2015,1433511369.998625,+295.837,+296.989,2.657E-4
Fri Jun  5 09:36:11 2015,1433511371.31016,+295.834,+296.988,2.656E-4
Fri Jun  5 09:36:12 2015,1433511372.529492,+295.835,+296.987,2.658E-4
Fri Jun  5 09:36:13 2015,1433511373.740363,+295.834,+296.989,2.659E-4
Fri Jun  5 09:36:14 2015,1433511374.95017,+295.832,+296.988,2.661E-4
Fri Jun  5 09:36:16 2015,1433511376.162402,+295.832,+296.988,2.659E-4
Fri Jun  5 09:36:17 2015,1433511377.384967,+295.835,+296.987,2.656E-4
Fri Jun  5 09:36:18 2015,1433511378.596157,+295.834,+296.987,2.655E-4
Fri Jun  5 09:36:19 2015,1433511379.814986,+295.832,+296.987,2.656E-4
Fri Jun  5 09:36:21 2015,1433511381.034475,+295.838,+296.988,2.656E-4
